position	count
1	19
2	28
3	28
4	38
5	38
6	44
7	118
8	137
9	139
10	143
11	162
12	164
13	165
14	165
15	166
16	166
17	277
18	277
19	495
20	498
21	535
22	539
23	541
24	542
25	546
26	552
27	558
28	562
29	591
30	615
31	633
32	650
33	656
34	669
35	669
36	679
37	729
38	736
39	737
40	741
41	745
42	747
43	752
44	755
45	759
46	762
47	896
48	898
49	898
50	903
51	905
52	906
53	912
54	918
55	950
56	953
57	947
58	952
59	975
60	982
61	993
62	993
63	999
64	996
65	1001
66	1036
67	1056
68	1066
69	1066
70	1085
71	1092
72	1096
73	1150
74	1152
75	1151
76	1151
77	1151
78	1158
79	1158
80	1156
81	1158
82	1156
83	1156
84	1157
85	1157
86	1161
87	1169
88	1172
89	1176
90	1179
91	1194
92	1194
93	1194
94	1199
95	1194
96	1202
97	1199
98	1197
99	1199
100	1212
101	1209
102	1210
103	1211
104	1223
105	1284
106	1286
107	1286
108	1284
109	1284
110	1286
111	1290
112	1315
113	1315
114	1295
115	1287
116	1287
117	1291
118	1289
119	1275
120	1275
121	1232
122	1232
123	1233
124	1235
125	1235
126	1233
127	1233
128	1234
129	1234
130	1234
131	1232
132	1232
133	1220
134	1224
135	1224
136	1224
137	1225
138	1225
139	1225
140	1225
141	1229
142	1233
143	1217
144	1152
145	1134
146	1134
147	1134
148	1138
149	1138
150	1138
151	1098
152	1094
153	1096
154	1099
155	1093
156	1091
157	1085
158	1085
159	1085
160	1083
161	1077
162	1077
163	1066
164	527
165	527
166	527
167	525
168	504
169	491
170	1027
171	1044
172	1042
173	1008
174	1011
175	1004
176	1017
177	1012
178	1040
179	1067
180	1075
181	1086
182	1102
183	1117
184	1121
185	1117
186	1128
187	1131
188	1151
189	1164
190	1179
191	1214
192	1216
193	1238
194	1259
195	1251
196	1252
197	1266
198	1273
199	1291
200	1280
201	1294
202	1311
203	1339
204	1339
205	1341
206	1343
207	1356
208	1352
209	1565
210	1587
211	1700
212	1706
213	1717
214	1723
215	1724
216	1761
217	1763
218	1766
219	1760
220	1651
221	1664
222	1705
223	1708
224	1715
225	1737
226	1791
227	1802
228	1802
229	1805
230	1804
231	1804
232	1806
233	1805
234	1799
235	1780
236	1778
237	1774
238	1775
239	1770
240	1777
241	1778
242	1789
243	1778
244	1775
245	1739
246	1741
247	1739
248	1734
249	1732
250	1713
251	1711
252	1686
253	1683
254	1670
255	1669
256	1664
257	1663
258	1647
259	1647
260	1644
261	1628
262	1627
263	1627
264	1625
265	1625
266	1622
267	1622
268	1578
269	1570
270	1567
271	1571
272	1566
273	1567
274	1567
275	1540
276	1540
277	1541
278	1502
279	1487
280	1486
281	1457
282	1455
283	1443
284	1440
285	1437
286	1435
287	1433
288	1383
289	1344
290	1341
291	1333
292	1335
293	1335
294	1344
295	1376
296	1376
297	1372
298	1374
299	1372
300	1379
301	1391
302	1395
303	1389
304	1386
305	1399
306	1401
307	1422
308	1420
309	1421
310	1421
311	1412
312	1402
313	1398
314	1434
315	1439
316	1450
317	1479
318	1481
319	1483
320	1481
321	1484
322	1483
323	1483
324	1454
325	1444
326	1449
327	1412
328	1428
329	1428
330	1409
331	1451
332	1467
333	1475
334	1470
335	1468
336	1468
337	1466
338	1468
339	1599
340	1587
341	1554
342	1582
343	1582
344	1591
345	1591
346	1605
347	1605
348	1448
349	1448
350	1448
351	1455
352	1467
353	1464
354	1468
355	1459
356	1459
357	1458
358	1462
359	1462
360	1468
361	1465
362	1462
363	1466
364	1466
365	1472
366	1472
367	1470
368	1473
369	1472
370	1494
371	1494
372	1494
373	1494
374	1487
375	1491
376	1491
377	1488
378	1487
379	1491
380	1491
381	1487
382	1486
383	1476
384	1472
385	1474
386	1463
387	1462
